fig_name,min_lat,max_lat,min_lon,max_lon,topo
20150807_1,50,55,130,135,2
20150807_1,50,55,135,140,2
20150807_1,50,55,140,145,3
20150807_1,50,55,145,150,1
20150807_1,45,50,130,135,2
20150807_1,45,50,135,140,2
20150807_1,45,50,140,145,3
20150807_1,45,50,145,150,1
20150807_1,40,45,130,135,2
20150807_1,40,45,135,140,2
20150807_1,40,45,140,145,3
20150807_1,40,45,145,150,1
20150807_1,35,40,135,140,2
20150807_1,35,40,140,145,3
20150807_1,35,40,145,150,1
20150807_1,35,40,150,155,1
20150807_1,30,35,135,140,3
20150807_1,30,35,140,145,1
20150807_1,30,35,145,150,1
20150807_1,30,35,150,155,1
20150807_1,25,30,140,145,1
20150807_1,25,30,145,150,1
20150807_1,25,30,150,155,1
20150807_1,20,25,140,145,1
20150807_1,20,25,145,150,1
20150807_1,20,25,150,155,1
20150807_1,15,20,140,145,1
20150807_1,15,20,145,150,1
20150807_1,15,20,150,155,1
20150807_1,10,15,140,145,1
20150807_1,10,15,145,150,1
20150807_1,5,10,145,150,1
20150807_1,5,10,150,155,1
20150807_1,5,10,155,160,1
20150807_2,50,55,100,105,2
20150807_2,50,55,105,110,2
20150807_2,50,55,110,115,2
20150807_2,50,55,115,120,2
20150807_2,50,55,120,125,2
20150807_2,45,50,105,110,2
20150807_2,45,50,110,115,2
20150807_2,45,50,115,120,2
20150807_2,45,50,120,125,2
20150807_2,40,45,105,110,2
20150807_2,40,45,110,115,2
20150807_2,40,45,115,120,2
20150807_2,40,45,120,125,3
20150807_2,35,40,110,115,2
20150807_2,35,40,115,120,3
20150807_2,35,40,120,125,3
20150807_2,30,35,110,115,1
20150807_2,30,35,115,120,1
20150807_2,30,35,120,125,3
20150807_2,30,35,125,130,3
20150807_2,25,30,115,120,2
20150807_2,25,30,120,125,3
20150807_2,25,30,125,130,1
20150807_2,20,25,115,120,3
20150807_2,20,25,120,125,3
20150807_2,20,25,125,130,1
20150807_2,15,20,115,120,1
20150807_2,15,20,120,125,3
20150807_2,15,20,125,130,1
20150807_2,10,15,120,125,3
20150807_2,10,15,125,130,1
20150807_2,5,10,120,125,3
20150807_2,5,10,125,130,3
20150807_2,5,10,130,135,1
20150807_2,0,5,120,125,3
20150807_2,0,5,125,130,1
20150808_1,50,55,120,125,2
20150808_1,50,55,125,130,2
20150808_1,50,55,130,135,2
20150808_1,50,55,135,140,3
20150808_1,45,50,120,125,2
20150808_1,45,50,125,130,2
20150808_1,45,50,130,135,2
20150808_1,45,50,135,140,3
20150808_1,40,45,120,125,2
20150808_1,40,45,125,130,2
20150808_1,40,45,130,135,3
20150808_1,40,45,135,140,1
20150808_1,35,40,120,125,3
20150808_1,35,40,125,130,3
20150808_1,35,40,130,135,1
20150808_1,30,35,115,120,2
20150808_1,30,35,120,125,3
20150808_1,30,35,125,130,1
20150808_1,30,35,130,135,1
20150808_1,25,30,115,120,2
20150808_1,25,30,120,125,3
20150808_1,25,30,125,130,1
20150808_1,20,25,115,120,3
20150808_1,20,25,120,125,3
20150808_1,20,25,125,130,1
20150808_1,15,20,115,120,1
20150808_1,15,20,120,125,3
20150808_1,15,20,125,130,1
20150808_1,10,15,115,120,1
20150808_1,10,15,120,125,3
20150808_1,5,10,110,115,1
20150808_1,5,10,115,120,3
20150808_1,5,10,120,125,3
20150808_1,0,5,125,130,3
20150808_2,50,55,105,110,2
20150808_2,50,55,110,115,2
20150808_2,50,55,115,120,2
20150808_2,50,55,120,125,2
20150808_2,50,55,125,130,2
20150808_2,45,50,110,115,2
20150808_2,45,50,115,120,2
20150808_2,45,50,120,125,2
20150808_2,45,50,125,130,2
20150808_2,40,45,110,115,2
20150808_2,40,45,115,120,2
20150808_2,40,45,120,125,2
20150808_2,40,45,125,130,2
20150808_2,35,40,115,120,3
20150808_2,35,40,120,125,3
20150808_2,35,40,125,130,3
20150808_2,30,35,115,120,2
20150808_2,30,35,120,125,3
20150808_2,30,35,125,130,1
20150808_2,30,35,130,135,3
20150808_2,25,30,120,125,3
20150808_2,25,30,125,130,1
20150808_2,25,30,130,135,1
20150808_2,20,25,120,125,3
20150808_2,20,25,125,130,1
20150808_2,20,25,130,135,1
20150808_2,15,20,120,125,3
20150808_2,15,20,125,130,1
20150808_2,15,20,130,135,1
20150808_2,10,15,125,130,1
20150808_2,10,15,130,135,1
20150808_2,5,10,125,130,3
20150808_2,5,10,130,135,1
20150808_2,5,10,135,140,1
20150808_2,0,5,125,130,1
20150808_2,0,5,130,135,1
20150809_1,50,55,125,130,2
20150809_1,50,55,130,135,2
20150809_1,50,55,135,140,3
20150809_1,45,50,125,130,2
20150809_1,45,50,130,135,2
20150809_1,45,50,135,140,3
20150809_1,45,50,140,145,3
20150809_1,40,45,125,130,2
20150809_1,40,45,130,135,3
20150809_1,40,45,135,140,1
20150809_1,40,45,140,145,3
20150809_1,35,40,120,125,3
20150809_1,35,40,125,130,3
20150809_1,35,40,130,135,1
20150809_1,35,40,135,140,3
20150809_1,30,35,120,125,3
20150809_1,30,35,125,130,1
20150809_1,30,35,130,135,3
20150809_1,30,35,135,140,3
20150809_1,25,30,120,125,3
20150809_1,25,30,125,130,1
20150809_1,25,30,130,135,1
20150809_1,20,25,120,125,3
20150809_1,20,25,125,130,1
20150809_1,20,25,130,135,1
20150809_1,15,20,120,125,3
20150809_1,15,20,125,130,1
20150809_1,15,20,130,135,1
20150809_1,10,15,120,125,3
20150809_1,10,15,125,130,1
20150809_1,10,15,130,135,1
20150809_1,5,10,120,125,3
20150809_1,5,10,125,130,3
20150809_1,0,5,120,125,3
20150809_1,0,5,125,130,1
20150809_2,50,55,110,115,2
20150809_2,50,55,115,120,2
20150809_2,50,55,120,125,2
20150809_2,50,55,125,130,2
20150809_2,50,55,130,135,2
20150809_2,45,50,115,120,2
20150809_2,45,50,120,125,2
20150809_2,45,50,125,130,2
20150809_2,45,50,130,135,2
20150809_2,40,45,115,120,2
20150809_2,40,45,120,125,2
20150809_2,40,45,125,130,2
20150809_2,40,45,130,135,3
20150809_2,35,40,120,125,3
20150809_2,35,40,125,130,3
20150809_2,35,40,130,135,1
20150809_2,35,40,135,140,3
20150809_2,30,35,120,125,3
20150809_2,30,35,125,130,1
20150809_2,30,35,130,135,3
20150809_2,30,35,135,140,3
20150809_2,25,30,125,130,1
20150809_2,25,30,130,135,1
20150809_2,25,30,135,140,1
20150809_2,20,25,125,130,1
20150809_2,20,25,130,135,1
20150809_2,20,25,135,140,1
20150809_2,15,20,125,130,1
20150809_2,15,20,130,135,1
20150809_2,15,20,135,140,1
20150809_2,10,15,130,135,1
20150809_2,10,15,135,140,1
20150809_2,5,10,130,135,1
20150809_2,5,10,135,140,1
20150809_2,5,10,140,145,1
20150809_2,0,5,130,135,1
20150809_2,0,5,135,140,1
